Benchmark,N,A,R,Topology,Avg. Degree,Min Degree,Max Degree,When Removed,Colors,Largest Color,Backbone Order,Backbone Size, Backbone Domination,Runtime
1,1000,32,0.100925,Square,29,8,51,21,21,74,332,141,0.991000,0.766653
2,8000,64,0.050463,Square,61,11,94,40,36,323,1650,636,0.998125,10.459558
3,16000,32,0.025231,Square,31,7,54,23,23,1153,5426,2237,0.996750,10.201240
4,64000,64,0.017841,Square,63,19,98,41,39,2533,12974,5002,0.998031,77.362143
